month,treated,synthetic,gap
0,0.09583179060526666,0.09587291680130945,-4.112619604279555e-05
1,0.10256682658078142,0.1023185622754717,0.00024826430530972
2,0.10629391689463741,0.10650995401806874,-0.00021603712343133685
3,0.10847836081406255,0.10822524196449732,0.00025311884956523423
4,0.10644048882480055,0.10662995860255389,-0.0001894697777533455
5,0.10195530196181535,0.10204120994548942,-8.590798367406893e-05
6,0.09623616085743321,0.09598236052161747,0.0002538003358157348
7,0.09047871530955225,0.09094663727197427,-0.0004679219624220271
8,0.08693510756062503,0.08656895948346285,0.0003661480771621761
9,0.08422904814302781,0.08472445948277293,-0.0004954113397451221
10,0.08722564317243102,0.08734239853979607,-0.00011675536736505121
11,0.09128611249142021,0.09158028356599969,-0.00029417107457947733
12,0.09779302231063167,0.097617972520648,0.00017504978998367227
13,0.1043419318085562,0.10423255784898457,0.00010937395957162643
14,0.10860829476524592,0.10872233196631936,-0.00011403720107344695
15,0.10986785628695736,0.10968135465340245,0.00018650163355490856
16,0.10873099126188408,0.10885578986036154,-0.00012479859847745745
17,0.10385110465888683,0.10384320743740094,7.897221485891892e-06
18,0.0981397500369864,0.09820130318975795,-6.155315277155127e-05
19,0.09265221219542495,0.09237418413624457,0.0002780280591803824
20,0.08861584886479745,0.08848075667635927,0.00013509218843818505
21,0.08718309003222266,0.08691185684412733,0.0002712331880953267
22,0.0884079887735436,0.08811513455578739,0.000292854217756211
23,0.09253944671263911,0.0924985514352515,4.0895277387612006e-05
24,0.09882790413398342,0.0992233658415565,-0.0003954617075730832
25,0.10913087641573782,0.10543994819946426,0.0036909282162735646
26,0.11303462535380034,0.10914585520395186,0.0038887701498484806
27,0.11527947578012072,0.11113390203917088,0.004145573740949843
28,0.11333902680374316,0.10984958035060857,0.0034894464531345926
29,0.10858582367933094,0.1051716386481702,0.003414185031160741
30,0.10340424337573025,0.09976417023830711,0.003640073137423136
31,0.0970606039672716,0.09324526859695005,0.0038153353703215542
32,0.09286254704408534,0.08912423457395663,0.0037383124701287074
33,0.09160359045716229,0.08767204495512851,0.003931545502033784
34,0.09352147739255064,0.08942362239746895,0.004097854995081682
35,0.09697417472953106,0.09403006525039487,0.0029441094791361894
